FIPS_Code,Unemployed_2019
16069,558
16071,50
16073,175
16075,395
16077,119
16079,286
16081,140
16083,"1,093"
16085,206
16087,180
17000,"257,303"
17001,"1,054"
17003,119
17005,285
17007,"1,418"
17009,71
17011,769
17013,103
17015,289
17017,241
17019,"3,908"
17021,671
17023,342
17025,281
17027,613
17029,918
17031,"103,226"
17033,360
17035,201
17037,"2,187"
17039,310
17041,350
17043,"15,600"
17045,369
17047,112
17049,599
17051,416
17053,263
17055,849
17057,811
17059,113
17061,248
17063,"1,201"
17065,164
17067,379
17069,82
17071,165
17073,"1,146"
17075,578
17077,"1,015"
17079,189
17081,765
17083,465
17085,421
17087,240
17089,"11,635"
17091,"2,684"
17093,"2,411"
17095,"1,033"
17097,"14,908"
17099,"2,790"
17101,313
17103,672
17105,646
17107,527
17109,598
17111,"5,768"
17113,"3,173"
17115,"2,449"
17117,942
17119,"5,048"
17121,749
17123,245
17125,321
17127,299
17129,236
17131,388
17133,563
17135,587
17137,635
17139,243
17141,"1,159"
17143,"4,159"
17145,411
17147,299
17149,293
17151,89
17153,125
17155,148
17157,500
17159,284
17161,"3,383"
17163,"5,387"
17165,489
17167,"3,907"
17169,130
17171,115
17173,397
17175,139
17177,907
17179,"2,707"
17181,404
17183,"1,631"
17185,234
17187,332
17189,246
17191,319
17193,246
17195,"1,168"
17197,"14,388"
17199,"1,319"
17201,"7,548"
17203,675
18000,"109,421"
18001,458
18003,"5,741"
18005,"1,100"
18007,142
18009,190
18011,880
18013,225
18015,299
18017,609
18019,"2,004"
18021,420
18023,449
18025,195
18027,425
18029,893
18031,421
18033,624
18035,"2,017"
18037,538
18039,"3,382"
18041,403
18043,"1,288"
18045,274
18047,382
18049,304
18051,480
18053,"1,145"
18055,551
18057,"4,609"
18059,"1,131"
18061,639
18063,"2,405"
18065,705
18067,"1,440"
18069,582
18071,592
18073,588
18075,275
18077,495
18079,433
18081,"2,196"
18083,548
18085,"1,154"
18087,543
18089,"11,041"
18091,"1,982"
18093,742
18095,"2,127"
18097,"15,778"
18099,702
18101,138
18103,586
18105,"2,286"
18107,558
18109,"1,091"
18111,281
18113,715
